I0,I1,I2,I3
33.0000000,-18.0000000,-2052.0000000,45.3143578
33.0000000,-18.0000000,-2052.0000000,45.3143578
32.0000000,-18.0000000,-2051.0000000,45.3058662
33.0000000,-21.0000000,-2048.0000000,45.3072853
33.0000000,-21.0000000,-2048.0000000,45.3072853
33.0000000,-18.0000000,-2051.0000000,45.3206367
33.0000000,-18.0000000,-2051.0000000,45.3206367
37.0000000,-22.0000000,-2051.0000000,45.3281250
37.0000000,-22.0000000,-2051.0000000,45.3281250
33.0000000,-20.0000000,-2049.0000000,45.3227882
33.0000000,-20.0000000,-2049.0000000,45.3227882
35.0000000,-23.0000000,-2053.0000000,45.3225136
35.0000000,-23.0000000,-2053.0000000,45.3225136
32.0000000,-21.0000000,-2051.0000000,45.3283043
34.0000000,-23.0000000,-2051.0000000,45.3244553
34.0000000,-23.0000000,-2051.0000000,45.3244553
36.0000000,-19.0000000,-2048.0000000,45.3255234
36.0000000,-19.0000000,-2048.0000000,45.3255234
35.0000000,-20.0000000,-2051.0000000,45.3325233
35.0000000,-20.0000000,-2051.0000000,45.3325233
33.0000000,-21.0000000,-2053.0000000,45.3116493
33.0000000,-21.0000000,-2053.0000000,45.3116493
32.0000000,-20.0000000,-2053.0000000,45.3109779
32.0000000,-20.0000000,-2053.0000000,45.3109779
35.0000000,-21.0000000,-2053.0000000,45.3164139
35.0000000,-21.0000000,-2053.0000000,45.3164139
33.0000000,-21.0000000,-2049.0000000,45.3152657
31.0000000,-23.0000000,-2050.0000000,45.3127213
31.0000000,-23.0000000,-2050.0000000,45.3127213
34.0000000,-20.0000000,-2049.0000000,45.3164711
34.0000000,-20.0000000,-2049.0000000,45.3164711
34.0000000,-21.0000000,-2051.0000000,45.3138084
34.0000000,-21.0000000,-2051.0000000,45.3138084
32.0000000,-22.0000000,-2052.0000000,45.3129196
32.0000000,-22.0000000,-2052.0000000,45.3129196
32.0000000,-21.0000000,-2052.0000000,45.3166504
32.0000000,-21.0000000,-2052.0000000,45.3166504
35.0000000,-23.0000000,-2051.0000000,45.3260460
35.0000000,-23.0000000,-2051.0000000,45.3260460
32.0000000,-18.0000000,-2049.0000000,45.3314857
33.0000000,-19.0000000,-2052.0000000,45.3348694
33.0000000,-19.0000000,-2052.0000000,45.3348694
30.0000000,-20.0000000,-2050.0000000,45.3303642
30.0000000,-20.0000000,-2050.0000000,45.3303642
31.0000000,-22.0000000,-2051.0000000,45.3202705
31.0000000,-22.0000000,-2051.0000000,45.3202705
34.0000000,-22.0000000,-2050.0000000,45.3323250
34.0000000,-22.0000000,-2050.0000000,45.3323250
30.0000000,-22.0000000,-2051.0000000,45.3250580
30.0000000,-22.0000000,-2051.0000000,45.3250580
