I0,I1,I2,I3
32.0000000,-20.0000000,-2050.0000000,50.1677666
24.0000000,-22.0000000,-2053.0000000,50.1675949
24.0000000,-22.0000000,-2053.0000000,50.1675949
33.0000000,-21.0000000,-2050.0000000,50.1598892
33.0000000,-21.0000000,-2050.0000000,50.1598892
25.0000000,-20.0000000,-2050.0000000,50.1695633
25.0000000,-20.0000000,-2050.0000000,50.1695633
33.0000000,-19.0000000,-2052.0000000,50.1752510
30.0000000,-19.0000000,-2053.0000000,50.1818810
30.0000000,-19.0000000,-2053.0000000,50.1818810
26.0000000,-22.0000000,-2052.0000000,50.1908646
26.0000000,-22.0000000,-2052.0000000,50.1908646
31.0000000,-19.0000000,-2051.0000000,50.1868744
31.0000000,-19.0000000,-2051.0000000,50.1868744
27.0000000,-19.0000000,-2049.0000000,50.1772461
27.0000000,-19.0000000,-2049.0000000,50.1772461
28.0000000,-21.0000000,-2053.0000000,50.1655579
28.0000000,-21.0000000,-2053.0000000,50.1655579
32.0000000,-24.0000000,-2051.0000000,50.1535301
32.0000000,-24.0000000,-2051.0000000,50.1535301
29.0000000,-21.0000000,-2050.0000000,50.1562920
29.0000000,-21.0000000,-2050.0000000,50.1648178
29.0000000,-21.0000000,-2050.0000000,50.1648178
29.0000000,-21.0000000,-2050.0000000,50.1498451
29.0000000,-21.0000000,-2050.0000000,50.1498451
32.0000000,-18.0000000,-2051.0000000,50.1620331
32.0000000,-18.0000000,-2051.0000000,50.1620331
31.0000000,-21.0000000,-2054.0000000,50.1548843
31.0000000,-21.0000000,-2054.0000000,50.1548843
29.0000000,-21.0000000,-2049.0000000,50.1575089
29.0000000,-21.0000000,-2049.0000000,50.1575089
28.0000000,-22.0000000,-2053.0000000,50.1508179
31.0000000,-22.0000000,-2050.0000000,50.1553612
31.0000000,-22.0000000,-2050.0000000,50.1553612
30.0000000,-21.0000000,-2050.0000000,50.1549225
30.0000000,-21.0000000,-2050.0000000,50.1549225
31.0000000,-21.0000000,-2054.0000000,50.1515045
31.0000000,-21.0000000,-2054.0000000,50.1515045
30.0000000,-20.0000000,-2052.0000000,50.1408806
30.0000000,-20.0000000,-2052.0000000,50.1408806
27.0000000,-18.0000000,-2051.0000000,50.1569862
27.0000000,-18.0000000,-2051.0000000,50.1569862
32.0000000,-18.0000000,-2050.0000000,50.1503448
32.0000000,-18.0000000,-2050.0000000,50.1503448
31.0000000,-19.0000000,-2051.0000000,50.1534233
32.0000000,-22.0000000,-2051.0000000,50.1501579
32.0000000,-22.0000000,-2051.0000000,50.1501579
30.0000000,-21.0000000,-2050.0000000,50.1608047
30.0000000,-21.0000000,-2050.0000000,50.1608047
31.0000000,-21.0000000,-2052.0000000,50.1507607
31.0000000,-21.0000000,-2052.0000000,50.1507607
30.0000000,-20.0000000,-2050.0000000,50.1477623
30.0000000,-20.0000000,-2050.0000000,50.1477623
30.0000000,-22.0000000,-2051.0000000,50.1360016
30.0000000,-22.0000000,-2051.0000000,50.1360016
29.0000000,-21.0000000,-2053.0000000,50.1525917
29.0000000,-21.0000000,-2053.0000000,50.1525917
29.0000000,-19.0000000,-2050.0000000,50.1433716
29.0000000,-20.0000000,-2050.0000000,50.1441269
29.0000000,-20.0000000,-2050.0000000,50.1441269
30.0000000,-22.0000000,-2050.0000000,50.1448059
30.0000000,-22.0000000,-2050.0000000,50.1448059
30.0000000,-22.0000000,-2048.0000000,50.1575012
30.0000000,-22.0000000,-2048.0000000,50.1575012
32.0000000,-24.0000000,-2053.0000000,50.1508102
32.0000000,-24.0000000,-2053.0000000,50.1508102
28.0000000,-22.0000000,-2053.0000000,50.1583710
28.0000000,-22.0000000,-2053.0000000,50.1583710
28.0000000,-20.0000000,-2052.0000000,50.1425323
28.0000000,-20.0000000,-2052.0000000,50.1425323
27.0000000,-19.0000000,-2052.0000000,50.1403542
30.0000000,-20.0000000,-2052.0000000,50.1353760
30.0000000,-20.0000000,-2052.0000000,50.1353760
31.0000000,-24.0000000,-2051.0000000,50.1248550
31.0000000,-24.0000000,-2051.0000000,50.1248550
31.0000000,-22.0000000,-2052.0000000,50.1184082
31.0000000,-22.0000000,-2052.0000000,50.1184082
29.0000000,-21.0000000,-2052.0000000,50.1307220
29.0000000,-21.0000000,-2052.0000000,50.1307220
30.0000000,-19.0000000,-2052.0000000,50.1297264
30.0000000,-19.0000000,-2052.0000000,50.1297264
29.0000000,-21.0000000,-2051.0000000,50.1409073
33.0000000,-23.0000000,-2051.0000000,50.1449318
33.0000000,-23.0000000,-2051.0000000,50.1449318
29.0000000,-21.0000000,-2053.0000000,50.1485519
29.0000000,-21.0000000,-2053.0000000,50.1485519
31.0000000,-22.0000000,-2052.0000000,50.1563377
31.0000000,-22.0000000,-2052.0000000,50.1563377
30.0000000,-20.0000000,-2050.0000000,50.1648560
30.0000000,-20.0000000,-2050.0000000,50.1648560
29.0000000,-18.0000000,-2050.0000000,50.1649742
29.0000000,-18.0000000,-2050.0000000,50.1649742
33.0000000,-21.0000000,-2052.0000000,50.1650810
33.0000000,-21.0000000,-2052.0000000,50.1650810
29.0000000,-22.0000000,-2051.0000000,50.1817856
30.0000000,-21.0000000,-2052.0000000,50.1666260
30.0000000,-21.0000000,-2052.0000000,50.1666260
29.0000000,-20.0000000,-2053.0000000,50.1650620
29.0000000,-20.0000000,-2053.0000000,50.1650620
29.0000000,-21.0000000,-2052.0000000,50.1696930
29.0000000,-21.0000000,-2052.0000000,50.1696930
30.0000000,-21.0000000,-2051.0000000,50.1723480
30.0000000,-21.0000000,-2051.0000000,50.1723480
31.0000000,-19.0000000,-2051.0000000,50.1611519
31.0000000,-19.0000000,-2051.0000000,50.1611519
27.0000000,-21.0000000,-2051.0000000,50.1495628
27.0000000,-21.0000000,-2051.0000000,50.1495628
30.0000000,-21.0000000,-2051.0000000,50.1527214
31.0000000,-22.0000000,-2051.0000000,50.1570740
31.0000000,-22.0000000,-2051.0000000,50.1570740
28.0000000,-21.0000000,-2050.0000000,50.1715584
28.0000000,-21.0000000,-2050.0000000,50.1715584
29.0000000,-19.0000000,-2051.0000000,50.1664772
29.0000000,-19.0000000,-2051.0000000,50.1664772
28.0000000,-19.0000000,-2053.0000000,50.1498299
28.0000000,-19.0000000,-2053.0000000,50.1498299
29.0000000,-21.0000000,-2054.0000000,50.1529617
29.0000000,-21.0000000,-2054.0000000,50.1529617
29.0000000,-21.0000000,-2051.0000000,50.1542702
29.0000000,-21.0000000,-2051.0000000,50.1542702
31.0000000,-22.0000000,-2051.0000000,50.1660156
28.0000000,-19.0000000,-2052.0000000,50.1554527
28.0000000,-19.0000000,-2052.0000000,50.1554527
26.0000000,-19.0000000,-2050.0000000,50.1610413
26.0000000,-19.0000000,-2050.0000000,50.1610413
29.0000000,-20.0000000,-2049.0000000,50.1781464
29.0000000,-20.0000000,-2049.0000000,50.1781464
29.0000000,-20.0000000,-2050.0000000,50.1814651
29.0000000,-20.0000000,-2050.0000000,50.1814651
32.0000000,-21.0000000,-2051.0000000,50.1799240
32.0000000,-21.0000000,-2051.0000000,50.1799240
