I0,I1,I2,I3
2031.0000000,-166.0000000,-14.0000000,45.0193748
2031.0000000,-166.0000000,-14.0000000,45.0193748
2030.0000000,-167.0000000,-15.0000000,45.0207596
2030.0000000,-167.0000000,-15.0000000,45.0207596
2030.0000000,-165.0000000,-11.0000000,45.0355911
2030.0000000,-165.0000000,-11.0000000,45.0355911
2032.0000000,-167.0000000,-14.0000000,45.0232773
2030.0000000,-166.0000000,-15.0000000,45.0167236
2030.0000000,-166.0000000,-15.0000000,45.0167236
2031.0000000,-167.0000000,-10.0000000,45.0198784
2031.0000000,-167.0000000,-10.0000000,45.0198784
2032.0000000,-164.0000000,-16.0000000,45.0091362
2032.0000000,-164.0000000,-16.0000000,45.0091362
2033.0000000,-167.0000000,-8.0000000,45.0070114
2033.0000000,-167.0000000,-8.0000000,45.0070114
2030.0000000,-166.0000000,-16.0000000,44.9960442
2030.0000000,-166.0000000,-16.0000000,44.9960442
2034.0000000,-167.0000000,-9.0000000,44.9922104
2034.0000000,-167.0000000,-9.0000000,44.9922104
2032.0000000,-164.0000000,-14.0000000,44.9857407
2032.0000000,-165.0000000,-16.0000000,44.9814301
2032.0000000,-165.0000000,-16.0000000,44.9814301
2031.0000000,-166.0000000,-15.0000000,44.9850998
2031.0000000,-166.0000000,-15.0000000,44.9850998
2031.0000000,-167.0000000,-14.0000000,44.9914169
2031.0000000,-167.0000000,-14.0000000,44.9914169
2030.0000000,-166.0000000,-16.0000000,45.0061646
2030.0000000,-166.0000000,-16.0000000,45.0061646
2030.0000000,-167.0000000,-16.0000000,45.0103760
2030.0000000,-167.0000000,-16.0000000,45.0103760
2031.0000000,-168.0000000,-11.0000000,45.0337944
2031.0000000,-168.0000000,-11.0000000,45.0337944
2034.0000000,-164.0000000,-14.0000000,45.0171280
2027.0000000,-165.0000000,-17.0000000,45.0142059
2027.0000000,-165.0000000,-17.0000000,45.0142059
2037.0000000,-168.0000000,-16.0000000,45.0010071
2037.0000000,-168.0000000,-16.0000000,45.0010071
2032.0000000,-167.0000000,-13.0000000,44.9906387
2032.0000000,-164.0000000,-16.0000000,44.9948959
2032.0000000,-164.0000000,-16.0000000,44.9948959
2027.0000000,-168.0000000,-13.0000000,44.9821205
2027.0000000,-168.0000000,-13.0000000,44.9821205
2032.0000000,-169.0000000,-13.0000000,44.9857178
2033.0000000,-165.0000000,-13.0000000,44.9934845
2033.0000000,-165.0000000,-13.0000000,44.9934845
2030.0000000,-165.0000000,-14.0000000,44.9823608
2030.0000000,-165.0000000,-14.0000000,44.9823608
2032.0000000,-164.0000000,-13.0000000,44.9798965
2032.0000000,-164.0000000,-13.0000000,44.9798965
2033.0000000,-167.0000000,-13.0000000,44.9746590
2033.0000000,-167.0000000,-13.0000000,44.9746590
2033.0000000,-166.0000000,-12.0000000,44.9865532
2033.0000000,-166.0000000,-12.0000000,44.9865532
